"","SPCODE","SITE_ID","LENGTH_MM","TISSUE","BIOLOGICALS_COMMENTS","SCIENTIFIC_NAME","COMMON_NAME"
"60",37445006,"N5.2",208,10080867,"(null)","Seriolella punctata","Silver Warehou"
"61",37445006,"N5.2",206,10081017,"no gonad","Seriolella punctata","Silver Warehou"
"62",37445006,"N5.2",220,10081005,"no gonad","Seriolella punctata","Silver Warehou"
"63",37445006,"N5.2",217,10080891,"(null)","Seriolella punctata","Silver Warehou"
"64",37445006,"N5.2",213,10080958,"no gonad","Seriolella punctata","Silver Warehou"
"65",37445006,"N5.2",227,10080862,"(null)","Seriolella punctata","Silver Warehou"
"66",37445006,"N5.2",225,10080984,"(null)","Seriolella punctata","Silver Warehou"
"67",37264002,"N5.3",150,NA,"bagged whole","Cyttus australis","Silver Dory"
"68",37264002,"N5.3",134,NA,"bagged whole","Cyttus australis","Silver Dory"
"69",37445006,"N5.3",200,10080923,"(null)","Seriolella punctata","Silver Warehou"
"70",37445006,"N5.3",203,10080943,"(null)","Seriolella punctata","Silver Warehou"
"71",37445006,"N5.3",197,10080972,"(null)","Seriolella punctata","Silver Warehou"
"72",37445006,"N5.3",212,10080817,"(null)","Seriolella punctata","Silver Warehou"
"73",37445006,"N5.3",198,10080836,"(null)","Seriolella punctata","Silver Warehou"
"74",37445006,"N5.3",202,10080709,"(null)","Seriolella punctata","Silver Warehou"
"75",37445006,"N5.3",214,10080911,"(null)","Seriolella punctata","Silver Warehou"
"76",37445006,"N5.3",215,10080683,"(null)","Seriolella punctata","Silver Warehou"
"77",37445006,"N5.3",205,10080640,"(null)","Seriolella punctata","Silver Warehou"
"78",37445006,"N5.3",200,10080962,"(null)","Seriolella punctata","Silver Warehou"
"79",37038007,"N5.3",341,10080913,"developed eggs","Urolophus viridis","Greenback Stingaree"
"80",37038007,"N5.3",319,10080847,"aborting pup","Urolophus viridis","Greenback Stingaree"
"81",37038007,"N5.3",385,10080860,"(null)","Urolophus viridis","Greenback Stingaree"
"82",37038007,"N5.3",335,10080859,"developed eggs","Urolophus viridis","Greenback Stingaree"
"83",37038007,"N5.3",301,10081002,"developed eggs","Urolophus viridis","Greenback Stingaree"
"84",37038007,"N5.3",279,10080890,"(null)","Urolophus viridis","Greenback Stingaree"
"85",37038007,"N5.3",291,10081038,"little egg development","Urolophus viridis","Greenback Stingaree"
"86",37038007,"N5.3",295,10080918,"(null)","Urolophus viridis","Greenback Stingaree"
"87",37038007,"N5.3",131,NA,"whole fish","Urolophus viridis","Greenback Stingaree"
"88",37038007,"N5.3",115,NA,"whole fish","Urolophus viridis","Greenback Stingaree"
"89",37337062,"N5.3",130,NA,"whole fish","Pseudocaranx georgianus","Silver Trevally"
"90",37337062,"N5.3",115,NA,"whole fish","Pseudocaranx georgianus","Silver Trevally"
"91",37330014,"N5.3",186,10080810,"stomach and digestive together","Sillago flindersi","Eastern School Whiting"
"92",37445005,"N5.3",159,NA,"(null)","Seriolella brama","Blue Warehou"
"93",37445005,"N5.3",169,NA,"(null)","Seriolella brama","Blue Warehou"
"94",37445005,"N5.3",156,NA,"(null)","Seriolella brama","Blue Warehou"
"95",37445005,"N5.3",156,NA,"(null)","Seriolella brama","Blue Warehou"
"96",37445005,"N5.3",171,NA,"(null)","Seriolella brama","Blue Warehou"
"97",37445005,"N5.3",160,NA,"(null)","Seriolella brama","Blue Warehou"
"98",37445005,"N5.3",153,NA,"(null)","Seriolella brama","Blue Warehou"
"99",37445005,"N5.3",156,NA,"(null)","Seriolella brama","Blue Warehou"
"100",37038001,"N5.3",372,10080647,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"101",37038001,"N5.3",458,10080884,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"102",37038001,"N5.3",490,10080677,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"103",37038001,"N5.3",339,10080910,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"104",37038001,"N5.3",346,10080880,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"105",37038004,"N5.3",356,10080944,"eggs in ovary","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"106",37038004,"N5.3",356,10080650,"eggs in ovary","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"107",37038004,"N5.3",321,10080818,"(null)","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"108",37038004,"N5.3",367,10080665,"undeveloped eggs","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"109",37038004,"N5.3",327,10080882,"(null)","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"110",37038004,"N5.3",388,10080894,"undeveloped eggs","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"111",37038004,"N5.3",329,10080712,"undeveloped eggs","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"112",37038004,"N5.3",333,10080823,"undeveloped eggs","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"113",37038004,"N5.3",337,10081045,"embryos","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"114",37038004,"N5.3",342,10080695,"undeveloped eggs","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"115",37296001,"N5.1",222,10081271,"(null)","Platycephalus richardsoni","Tiger Flathead"
"116",37296001,"N5.1",222,10081318,"(null)","Platycephalus richardsoni","Tiger Flathead"
"117",37296001,"N5.1",257,10081211,"(null)","Platycephalus richardsoni","Tiger Flathead"
"118",37296001,"N5.1",234,10081255,"internal parasitic worms retained 10081223","Platycephalus richardsoni","Tiger Flathead"
"119",37296001,"N5.1",311,10081209,"(null)","Platycephalus richardsoni","Tiger Flathead"
"120",37296001,"N5.1",290,10081290,"(null)","Platycephalus richardsoni","Tiger Flathead"
"121",37296001,"N5.1",276,10081201,"(null)","Platycephalus richardsoni","Tiger Flathead"
"122",37296001,"N5.1",256,10081307,"(null)","Platycephalus richardsoni","Tiger Flathead"
"123",37296001,"N5.1",267,10081305,"(null)","Platycephalus richardsoni","Tiger Flathead"
"124",37296001,"N5.1",248,10081306,"(null)","Platycephalus richardsoni","Tiger Flathead"
"125",37017001,"N5.1",472,10081220,"shot 3","Mustelus antarcticus","Gummy Shark"
"126",37330014,"N5.1",212,10081269,"(null)","Sillago flindersi","Eastern School Whiting"
"127",37038002,"N5.1",340,10080741,"large developing yoky embroy see photo","Urolophus cruciatus","Banded Stingaree"
"128",37038002,"N5.1",345,10080807,"large developing yoky embroy see photo","Urolophus cruciatus","Banded Stingaree"
"129",37038002,"N5.1",326,10080751,"large developing yoky embroy see photo","Urolophus cruciatus","Banded Stingaree"
"130",37038002,"N5.1",284,10080786,"large developing yoky embroy see photo","Urolophus cruciatus","Banded Stingaree"
"131",37038002,"N5.1",282,10080756,"(null)","Urolophus cruciatus","Banded Stingaree"
"132",37038002,"N5.1",252,10080659,"(null)","Urolophus cruciatus","Banded Stingaree"
"133",37038002,"N5.1",321,10080655,"(null)","Urolophus cruciatus","Banded Stingaree"
"134",37038002,"N5.1",246,10080789,"(null)","Urolophus cruciatus","Banded Stingaree"
"135",37445005,"N5.1",168,10080982,"(null)","Seriolella brama","Blue Warehou"
"136",37445005,"N5.1",149,10081221,"(null)","Seriolella brama","Blue Warehou"
"137",37445005,"N5.1",147,10081312,"(null)","Seriolella brama","Blue Warehou"
"138",37445005,"N5.1",159,10081283,"(null)","Seriolella brama","Blue Warehou"
"139",37445005,"N5.1",159,10080656,"(null)","Seriolella brama","Blue Warehou"
"140",37445005,"N5.1",162,10081301,"(null)","Seriolella brama","Blue Warehou"
"141",37445005,"N5.1",155,10081315,"(null)","Seriolella brama","Blue Warehou"
"142",37445005,"N5.1",147,10081288,"(null)","Seriolella brama","Blue Warehou"
"143",37445005,"N5.1",149,10081256,"(null)","Seriolella brama","Blue Warehou"
"144",37445005,"N5.1",175,10081217,"(null)","Seriolella brama","Blue Warehou"
"145",37337062,"N5.1",126,NA,"retained whole","Pseudocaranx georgianus","Silver Trevally"
"146",37445006,"N5.1",207,10080734,"female immature","Seriolella punctata","Silver Warehou"
"147",37445006,"N5.1",197,10081139,"undeveloped gonads","Seriolella punctata","Silver Warehou"
"148",37445006,"N5.1",195,10081213,"immature female","Seriolella punctata","Silver Warehou"
"149",37445006,"N5.1",198,10081162,"undeveloped gonads","Seriolella punctata","Silver Warehou"
"150",37445006,"N5.1",184,10081091,"undeveloped gonads","Seriolella punctata","Silver Warehou"
"151",37445006,"N5.1",197,10081174,"shot 1","Seriolella punctata","Silver Warehou"
"152",37445006,"N5.1",199,10081088,"(null)","Seriolella punctata","Silver Warehou"
"153",37445006,"N5.1",194,10081127,"(null)","Seriolella punctata","Silver Warehou"
"154",37445006,"N5.1",191,10081180,"(null)","Seriolella punctata","Silver Warehou"
"155",37445006,"N5.1",195,10081267,"(null)","Seriolella punctata","Silver Warehou"
"156",37038001,"N5.1",564,10081273,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"157",37038001,"N5.1",483,10080775,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"158",37038004,"N5.1",264,10080627,"female immature","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"159",37038004,"N5.1",315,10080700,"female undeveloped eggs","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"160",37038004,"N5.1",322,10080771,"female undeveloped eggs","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"161",37038004,"N5.1",354,10080801,"female undeveloped eggs","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"162",37038004,"N5.1",305,10080717,"female undeveloped eggs","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"163",37038004,"N5.1",289,10080535,"(null)","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"164",37038004,"N5.1",329,10080528,"female undeveloped eggs","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"165",37038004,"N5.1",318,10080530,"female undeveloped eggs","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"166",37038004,"N5.1",366,10080804,"female undeveloped eggs","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"167",37038004,"N5.1",347,10080730,"female undeveloped eggs","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"168",37038007,"N5.1",366,10080499,"female undeveloped eggs","Urolophus viridis","Greenback Stingaree"
"169",37038007,"N5.1",368,10080383,"female undeveloped eggs","Urolophus viridis","Greenback Stingaree"
"170",37038007,"N5.1",318,10080760,"(null)","Urolophus viridis","Greenback Stingaree"
"171",37038007,"N5.1",351,10080763,"female pupping","Urolophus viridis","Greenback Stingaree"
"172",37296001,"N7.1",444,10081115,"(null)","Platycephalus richardsoni","Tiger Flathead"
"173",37296001,"N7.1",372,10081109,"(null)","Platycephalus richardsoni","Tiger Flathead"
"174",37296001,"N7.1",428,10081804,"gut parasite 10081834","Platycephalus richardsoni","Tiger Flathead"
"175",37296001,"N7.1",387,10081089,"(null)","Platycephalus richardsoni","Tiger Flathead"
"176",37296001,"N7.1",390,10081204,"(null)","Platycephalus richardsoni","Tiger Flathead"
"177",37296001,"N7.1",390,10081833,"(null)","Platycephalus richardsoni","Tiger Flathead"
"178",37296001,"N7.1",364,10081155,"(null)","Platycephalus richardsoni","Tiger Flathead"
"179",37296001,"N7.1",326,10081239,"(null)","Platycephalus richardsoni","Tiger Flathead"
"180",37296001,"N7.1",482,10081236,"(null)","Platycephalus richardsoni","Tiger Flathead"
"181",37296001,"N7.1",388,10081198,"(null)","Platycephalus richardsoni","Tiger Flathead"
"182",37038007,"N7.1",332,10081161,"small eggs","Urolophus viridis","Greenback Stingaree"
"183",37038007,"N7.1",342,10081164,"pupping","Urolophus viridis","Greenback Stingaree"
"184",37038007,"N7.1",358,10081810,"pupping","Urolophus viridis","Greenback Stingaree"
"185",37038007,"N7.1",327,10081839,"undeveloped gonads","Urolophus viridis","Greenback Stingaree"
"186",37038007,"N7.1",318,10081195,"undeveloped gonads","Urolophus viridis","Greenback Stingaree"
"187",37038007,"N7.1",328,10081840,"(null)","Urolophus viridis","Greenback Stingaree"
"188",37038007,"N7.1",338,10081741,"pupping","Urolophus viridis","Greenback Stingaree"
"189",37038007,"N7.1",324,10081101,"(null)","Urolophus viridis","Greenback Stingaree"
"190",37038007,"N7.1",348,10081092,"(null)","Urolophus viridis","Greenback Stingaree"
"191",37038007,"N7.1",361,10081104,"small eggs","Urolophus viridis","Greenback Stingaree"
"192",37445006,"N1.1",225,10080074,"(null)","Seriolella punctata","Silver Warehou"
"193",37038007,"N1.1",286,10080089,"(null)","Urolophus viridis","Greenback Stingaree"
"194",37445006,"N1.2",209,10080140,"(null)","Seriolella punctata","Silver Warehou"
"195",37445006,"N1.2",191,10080133,"(null)","Seriolella punctata","Silver Warehou"
"196",37445006,"N1.2",197,10080156,"(null)","Seriolella punctata","Silver Warehou"
"197",37445006,"N1.2",197,10080159,"(null)","Seriolella punctata","Silver Warehou"
"198",37445006,"N1.2",213,10080112,"(null)","Seriolella punctata","Silver Warehou"
"199",37445006,"N1.2",228,10080114,"(null)","Seriolella punctata","Silver Warehou"
"200",37287001,"N1.2",166,10080128,"(null)","Helicolenus percoides","Reef Ocean Perch"
"201",37287001,"N1.2",177,10080125,"(null)","Helicolenus percoides","Reef Ocean Perch"
"202",37287001,"N1.2",148,10080144,"(null)","Helicolenus percoides","Reef Ocean Perch"
"203",37287001,"N1.2",116,NA,"bagged whole","Helicolenus percoides","Reef Ocean Perch"
"204",37287001,"N1.2",179,10080146,"(null)","Helicolenus percoides","Reef Ocean Perch"
"205",37287001,"N1.2",156,10080211,"(null)","Helicolenus percoides","Reef Ocean Perch"
"206",37287001,"N1.2",113,NA,"bagged whole","Helicolenus percoides","Reef Ocean Perch"
"207",37377003,"N1.2",209,10080117,"(null)","Nemadactylus macropterus","Jackass Morwong"
"208",37264004,"N1.2",177,NA,"bagged whole","Zeus faber","John Dory"
"209",37038002,"N1.2",274,10080149,"Photo taken","Urolophus cruciatus","Banded Stingaree"
"210",37296001,"N1.2",492,10080179,"(null)","Platycephalus richardsoni","Tiger Flathead"
"211",37296001,"N1.2",409,10080121,"(null)","Platycephalus richardsoni","Tiger Flathead"
"212",37296001,"N1.2",386,10080188,"(null)","Platycephalus richardsoni","Tiger Flathead"
"213",37296001,"N1.2",343,10080189,"(null)","Platycephalus richardsoni","Tiger Flathead"
"214",37296001,"N1.2",337,10080193,"(null)","Platycephalus richardsoni","Tiger Flathead"
"215",37296001,"N1.2",403,10080195,"(null)","Platycephalus richardsoni","Tiger Flathead"
"216",37296001,"N1.2",322,10080203,"(null)","Platycephalus richardsoni","Tiger Flathead"
"217",37296001,"N1.2",333,10080214,"(null)","Platycephalus richardsoni","Tiger Flathead"
"218",37296001,"N1.2",290,10080221,"(null)","Platycephalus richardsoni","Tiger Flathead"
"219",37296001,"N1.2",285,10080208,"(null)","Platycephalus richardsoni","Tiger Flathead"
"220",37038004,"N1.2",363,10080223,"(null)","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"221",37038004,"N1.2",282,10080227,"(null)","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"222",37038004,"N1.2",371,10080206,"(null)","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"223",37038004,"N1.2",274,NA,"2 pups","Urolophus paucimaculatus","Sparsely-spotted Stingaree"
"224",37038001,"N1.2",464,10080261,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"225",37038001,"N1.2",491,10080283,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"226",37038001,"N1.2",386,10080285,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"227",37038001,"N1.2",408,10080287,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"228",37038001,"N1.2",426,10080234,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"229",37038001,"N1.2",475,10080237,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"230",37038001,"N1.2",640,10080240,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"231",37038001,"N1.2",561,10080243,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"232",37038001,"N1.2",445,10080246,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"233",37038001,"N1.2",597,10080217,"(null)","Urolophus bucculentus","Sandyback Stingaree"
"234",37296001,"N3.2",454,10080276,"Start of day 2","Platycephalus richardsoni","Tiger Flathead"
"235",37296001,"N3.2",389,10080271,"(null)","Platycephalus richardsoni","Tiger Flathead"
"236",37296001,"N3.2",402,10080266,"(null)","Platycephalus richardsoni","Tiger Flathead"
"237",37296001,"N3.2",350,10080260,"(null)","Platycephalus richardsoni","Tiger Flathead"
"238",37296001,"N3.2",414,10080252,"stomach everted","Platycephalus richardsoni","Tiger Flathead"
"239",37296001,"N3.2",414,10080352,"(null)","Platycephalus richardsoni","Tiger Flathead"
"240",37296001,"N3.2",471,10080351,"(null)","Platycephalus richardsoni","Tiger Flathead"
"241",37296001,"N3.2",360,10080347,"(null)","Platycephalus richardsoni","Tiger Flathead"
"242",37296001,"N3.2",339,10080416,"(null)","Platycephalus richardsoni","Tiger Flathead"
"243",37296001,"N3.2",332,10080338,"(null)","Platycephalus richardsoni","Tiger Flathead"
"244",37287001,"N3.2",212,10080370,"(null)","Helicolenus percoides","Reef Ocean Perch"
"245",37287001,"N3.2",204,10080373,"(null)","Helicolenus percoides","Reef Ocean Perch"
"246",37287001,"N3.2",183,10080367,"(null)","Helicolenus percoides","Reef Ocean Perch"
"247",37287001,"N3.2",121,10080346,"(null)","Helicolenus percoides","Reef Ocean Perch"
"248",37287001,"N3.2",114,10080369,"(null)","Helicolenus percoides","Reef Ocean Perch"
"249",37287001,"N3.2",229,10080336,"(null)","Helicolenus percoides","Reef Ocean Perch"
"250",37287001,"N3.2",205,10080365,"(null)","Helicolenus percoides","Reef Ocean Perch"
"251",37287001,"N3.2",192,10080362,"(null)","Helicolenus percoides","Reef Ocean Perch"
"252",37287001,"N3.2",193,10080452,"(null)","Helicolenus percoides","Reef Ocean Perch"
"253",37287001,"N3.2",177,10080511,"(null)","Helicolenus percoides","Reef Ocean Perch"
"254",37445006,"N3.2",217,10080337,"(null)","Seriolella punctata","Silver Warehou"
"255",37445006,"N3.2",209,10080454,"(null)","Seriolella punctata","Silver Warehou"
"256",37445006,"N3.2",219,10080453,"(null)","Seriolella punctata","Silver Warehou"
"257",37445006,"N3.2",212,10080361,"(null)","Seriolella punctata","Silver Warehou"
"258",37445006,"N3.2",220,10080334,"(null)","Seriolella punctata","Silver Warehou"
"259",37445006,"N3.2",216,10080439,"(null)","Seriolella punctata","Silver Warehou"
"260",37445006,"N3.2",209,10080420,"no gonad","Seriolella punctata","Silver Warehou"
"261",37445006,"N3.2",211,10080324,"(null)","Seriolella punctata","Silver Warehou"
"262",37445006,"N3.2",226,10080306,"(null)","Seriolella punctata","Silver Warehou"
"263",37445006,"N3.2",216,10080314,"(null)","Seriolella punctata","Silver Warehou"
"264",37038007,"N3.2",338,10080444,"(null)","Urolophus viridis","Greenback Stingaree"
"265",37038007,"N3.2",387,10080478,"(null)","Urolophus viridis","Greenback Stingaree"
"266",37038007,"N3.2",358,10080311,"(null)","Urolophus viridis","Greenback Stingaree"
"267",37038007,"N3.2",424,10080301,"developed eggs","Urolophus viridis","Greenback Stingaree"
"268",37038007,"N3.2",371,10080427,"(null)","Urolophus viridis","Greenback Stingaree"
"269",37038007,"N3.2",377,10080463,"(null)","Urolophus viridis","Greenback Stingaree"
"270",37038007,"N3.2",334,10080433,"(null)","Urolophus viridis","Greenback Stingaree"
"271",37038007,"N3.2",389,10080319,"(null)","Urolophus viridis","Greenback Stingaree"
"272",37038007,"N3.2",389,10080322,"(null)","Urolophus viridis","Greenback Stingaree"
"273",37038007,"N3.2",372,10080329,"eggs in ovary","Urolophus viridis","Greenback Stingaree"
"274",37038007,"N3.3",329,10080317,"shot 2","Urolophus viridis","Greenback Stingaree"
"275",37445006,"N3.3",225,10080488,"(null)","Seriolella punctata","Silver Warehou"
"276",37287001,"N3.3",184,10080442,"(null)","Helicolenus percoides","Reef Ocean Perch"
"277",37287001,"N3.3",156,10080423,"(null)","Helicolenus percoides","Reef Ocean Perch"
"278",37287001,"N3.3",225,10080473,"(null)","Helicolenus percoides","Reef Ocean Perch"
"279",37287001,"N3.3",155,10080472,"(null)","Helicolenus percoides","Reef Ocean Perch"
"280",37287001,"N3.3",202,10080470,"(null)","Helicolenus percoides","Reef Ocean Perch"
"281",37287001,"N3.3",192,10080437,"(null)","Helicolenus percoides","Reef Ocean Perch"
"282",37287001,"N3.3",164,10080446,"(null)","Helicolenus percoides","Reef Ocean Perch"
"283",37287001,"N3.3",169,10080434,"(null)","Helicolenus percoides","Reef Ocean Perch"
"284",37287001,"N3.3",179,10080464,"(null)","Helicolenus percoides","Reef Ocean Perch"
"285",37287001,"N3.3",170,10080494,"(null)","Helicolenus percoides","Reef Ocean Perch"
"286",37445006,"N3.3",215,10080518,"(null)","Seriolella punctata","Silver Warehou"
"287",37445006,"N3.3",233,10080493,"(null)","Seriolella punctata","Silver Warehou"
"288",37445006,"N3.3",233,10080531,"(null)","Seriolella punctata","Silver Warehou"
"289",37445006,"N3.3",193,10080295,"(null)","Seriolella punctata","Silver Warehou"
"290",37445006,"N3.3",204,10080533,"(null)","Seriolella punctata","Silver Warehou"
"291",37445006,"N3.3",197,10080513,"(null)","Seriolella punctata","Silver Warehou"
"292",37445006,"N3.3",220,10080358,"(null)","Seriolella punctata","Silver Warehou"
"293",37445006,"N3.3",194,10080289,"undeveloped","Seriolella punctata","Silver Warehou"
"294",37445006,"N3.3",209,10080298,"(null)","Seriolella punctata","Silver Warehou"
"295",37296001,"N3.3",433,10080600,"(null)","Platycephalus richardsoni","Tiger Flathead"
"296",37296001,"N3.3",339,10080520,"(null)","Platycephalus richardsoni","Tiger Flathead"
"297",37296001,"N3.3",315,10080584,"(null)","Platycephalus richardsoni","Tiger Flathead"
"298",37296001,"N3.3",424,10080622,"(null)","Platycephalus richardsoni","Tiger Flathead"
"299",37296001,"N3.3",322,10080619,"(null)","Platycephalus richardsoni","Tiger Flathead"
"300",37296001,"N3.3",379,10080578,"(null)","Platycephalus richardsoni","Tiger Flathead"
"301",37296001,"N3.3",349,10080545,"(null)","Platycephalus richardsoni","Tiger Flathead"
"302",37296001,"N3.3",391,10080626,"(null)","Platycephalus richardsoni","Tiger Flathead"
"303",37296001,"N3.3",381,10080558,"(null)","Platycephalus richardsoni","Tiger Flathead"
